experiment,dataset,n_eval,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive,n_train
twitter_only,internal_test,2386,0.90360435875943,0.8661820738391056,0.8980798744594983,0.8810298771271244,0.9046571440724969,0.8453333333333334,0.929679762297788,0.8680765357502518,8110
twitter_plus_phrasebank,internal_test,2386,0.8948030176026823,0.8577865813492274,0.8812977920927291,0.867862071877807,0.8958446024252552,0.8217054263565892,0.9250409165302782,0.8568398727465536,12950
twitter_only,sp500_external,1030,0.7980582524271844,0.814890571826434,0.7973428347146548,0.7989124876019106,0.8003392080693296,0.8041958041958042,0.7635402906208718,0.8290013679890561,8110
twitter_only,reuters_external,5000,0.6356,0.7402039656499917,0.6780698391289626,0.6464706815388803,0.6566319865917966,0.7364813404417365,0.5459800315291645,0.6569506726457399,8110
twitter_plus_phrasebank,sp500_external,1030,0.7951456310679612,0.8076033508298232,0.7963810523409989,0.7967810091689828,0.7972485518004437,0.8161888701517707,0.7613941018766756,0.812760055478502,12950
twitter_plus_phrasebank,reuters_external,5000,0.6178,0.7363137729782556,0.6647712103775156,0.6305084917071935,0.6389340912967475,0.7306525037936267,0.5314578005115089,0.6294151708164447,12950
