dataset,accuracy_delta_phrasebank,macro_f1_delta_phrasebank,weighted_f1_delta_phrasebank,negative_f1_delta_phrasebank,neutral_f1_delta_phrasebank,positive_f1_delta_phrasebank
internal_test,-0.008801341156747688,-0.013167805249317488,-0.008812541647241656,-0.023627906976744217,-0.004638845767509836,-0.011236663003698188
reuters_external,-0.017800000000000038,-0.015962189831686846,-0.01769789529504906,-0.0058288366481098475,-0.014522231017655596,-0.027535501829295206
sp500_external,-0.002912621359223211,-0.0021314784329278247,-0.0030906562688858275,0.011993065955966498,-0.0021461887441962535,-0.01624131251055405
