,pred_negative,pred_neutral,pred_positive
true_negative,0.6749226006191951,0.23839009287925697,0.08668730650154799
true_neutral,0.038348082595870206,0.8849557522123894,0.07669616519174041
true_positive,0.04271356783919598,0.20100502512562815,0.7562814070351759
