,precision,recall,f1-score,support
negative,0.8790322580645161,0.6749226006191951,0.7635726795096323,323.0
neutral,0.6564551422319475,0.8849557522123894,0.7537688442211056,339.0
positive,0.847887323943662,0.7562814070351759,0.799468791500664,398.0
accuracy,0.7726415094339623,0.7726415094339623,0.7726415094339623,0.7726415094339623
macro avg,0.7944582414133752,0.7720532532889202,0.772270105077134,1060.0
weighted avg,0.7961555353783455,0.7726415094339623,0.7739152761224813,1060.0
