,precision,recall,f1-score,support
negative,0.9,0.5642811906269791,0.6936551187232386,1579.0
neutral,0.3706713780918728,0.9153577661431065,0.5276659959758552,1146.0
positive,0.8915254237288136,0.4624175824175824,0.608972503617945,2275.0
accuracy,0.5984,0.5984,0.5984,0.5984
macro avg,0.7207322672735622,0.6473521797292227,0.6100978727723463,5000.0
weighted avg,0.7748219476552675,0.5984,0.6170798219166298,5000.0
