,pred_negative,pred_neutral,pred_positive
true_negative,0.5642811906269791,0.3888537048765041,0.046865104496516784
true_neutral,0.037521815008726006,0.9153577661431065,0.04712041884816754
true_positive,0.024615384615384615,0.5129670329670329,0.4624175824175824
