dataset,model,n_eval,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,negative_precision,negative_recall,negative_f1,negative_support,neutral_precision,neutral_recall,neutral_f1,neutral_support,positive_precision,positive_recall,positive_f1,positive_support
internal_twitter_test,roberta_base,2386,0.8906119027661358,0.8510658175290176,0.8813553405078571,0.8651345360691675,0.8947202365068887,0.8906119027661358,0.8918425675334946,0.8046875,0.8631284916201117,0.8328840970350404,358,0.9431664411366711,0.8999354422207876,0.9210439378923027,1549,0.8053435114503816,0.8810020876826722,0.8414755732801595,479
internal_twitter_test,bert_base_uncased,2386,0.8721709974853311,0.8279759442796569,0.8486912031705215,0.8378059582731471,0.8751012642270538,0.8721709974853311,0.8732732093904401,0.7428571428571429,0.7988826815642458,0.7698519515477793,358,0.9234354194407457,0.89541639767592,0.909210095050803,1549,0.8176352705410822,0.8517745302713987,0.8343558282208589,479
internal_twitter_test,distilbert_base_uncased,2386,0.8583403185247276,0.8135803172940661,0.8308100852431083,0.8218125555181799,0.8609022890247584,0.8583403185247276,0.8593272832957123,0.7479892761394102,0.7793296089385475,0.7633378932968536,358,0.9116865869853917,0.8863783085861846,0.8988543371522095,1549,0.7810650887573964,0.826722338204593,0.8032454361054767,479
sp500_external_test,original_finbert_file_label,1060,0.7518867924528302,0.7531136205846097,0.7567429204863066,0.7521257588489693,0.7566315232847518,0.7518867924528302,0.7513393116063734,0.7213114754098361,0.8173374613003096,0.7663280116110305,323,0.7303370786516854,0.7669616519174042,0.7482014388489209,339,0.8076923076923077,0.6859296482412061,0.7418478260869565,398
sp500_external_test,roberta_base,1060,0.8132075471698114,0.8249146937836747,0.8138040816427683,0.8145270895206335,0.826820056723076,0.8132075471698114,0.8153186193960873,0.8936170212765957,0.7801857585139319,0.8330578512396695,323,0.7033492822966507,0.8672566371681416,0.7767503302509907,339,0.8777777777777778,0.7939698492462312,0.8337730870712401,398
sp500_external_test,bert_base_uncased,1060,0.7556603773584906,0.7714268575285451,0.7554228289436015,0.7549284020350996,0.772874383615121,0.7556603773584906,0.7561484287807161,0.8404669260700389,0.6687306501547987,0.7448275862068966,323,0.6576576576576577,0.8613569321533924,0.7458492975734355,339,0.8161559888579387,0.7361809045226131,0.774108322324967,398
sp500_external_test,distilbert_base_uncased,1060,0.7518867924528302,0.7668849820836062,0.7509549874239152,0.7509597985493497,0.7682958510580126,0.7518867924528302,0.7525245490359872,0.8359375,0.6625386996904025,0.7392055267702936,323,0.6537585421412301,0.8466076696165191,0.7377892030848329,339,0.810958904109589,0.7437185929648241,0.7758846657929227,398
