model,Internal,S&P 500,Synthetic,Reuters
FinBERT,0.6794,0.7521,0.9551,0.6866
DistilBERT,0.8218,0.751,0.9581,0.5869
BERT,0.8378,0.7549,0.9742,0.6131
RoBERTa,0.8651,0.8145,0.9957,0.6388
Fine-tuned FinBERT,0.8511757179169832,,,
