seed,model_a,model_b,n,f1_macro_a,f1_macro_a_ci_low,f1_macro_a_ci_high,f1_macro_b,f1_macro_b_ci_low,f1_macro_b_ci_high,f1_macro_diff_a_minus_b,diff_ci_low,diff_ci_high,diff_ci_excludes_zero,bootstrap_two_sided_p_approx
123,BERT-base-uncased,DistilBERT-base-uncased,2386,0.8422230563401859,0.8250426804770473,0.8587521559001349,0.8212733865908431,0.8036231572893264,0.8388392928419696,0.02094966974934276,0.0069797811336586415,0.03529246096314914,True,0.002
123,BERT-base-uncased,Fine-tuned FinBERT,2386,0.8422230563401859,0.8247026745669667,0.8591606902080594,0.8462845834410797,0.8293353773861295,0.8625969548831018,-0.0040615271008938025,-0.017878737427503948,0.009497953720060176,False,0.5748
123,BERT-base-uncased,RoBERTa-base,2386,0.8422230563401859,0.8243003122730872,0.8591570242906305,0.8756918277589879,0.8601436191690673,0.8905121441398535,-0.033468771418802,-0.04928513591130004,-0.018100855086133176,True,0.0
123,DistilBERT-base-uncased,Fine-tuned FinBERT,2386,0.8212733865908431,0.8021711336392252,0.8390121472565824,0.8462845834410797,0.8283058509124858,0.8623586625395346,-0.02501119685023656,-0.04039114229205685,-0.009754386925983748,True,0.0004
123,DistilBERT-base-uncased,RoBERTa-base,2386,0.8212733865908431,0.8031479025759555,0.8386979167150768,0.8756918277589879,0.8599063075694526,0.8906970342060372,-0.05441844116814476,-0.07081118491547654,-0.037699524844028054,True,0.0
123,Fine-tuned FinBERT,RoBERTa-base,2386,0.8462845834410797,0.8285088256133691,0.8629975966775852,0.8756918277589879,0.8600088037014139,0.8907111608937596,-0.0294072443179082,-0.044567253968406495,-0.013791081478854808,True,0.0
2024,BERT-base-uncased,DistilBERT-base-uncased,2386,0.8386465460901303,0.8210219301037238,0.8552698832106882,0.8263677217718871,0.8078826791825139,0.8440121857351267,0.012278824318243231,-0.0014201470007171588,0.02634428521241513,False,0.0788
2024,BERT-base-uncased,Fine-tuned FinBERT,2386,0.8386465460901303,0.8214634139254767,0.855639801063066,0.8464230340291091,0.8296817726656592,0.8627988379602409,-0.007776487938978782,-0.021282476923458638,0.00596349230325405,False,0.2732
2024,BERT-base-uncased,RoBERTa-base,2386,0.8386465460901303,0.8208646273563047,0.8556365017607547,0.8776572307826195,0.8624190110419305,0.8925282102523173,-0.03901068469248914,-0.05505341773052562,-0.02278481954490936,True,0.0
2024,DistilBERT-base-uncased,Fine-tuned FinBERT,2386,0.8263677217718871,0.8083598145160197,0.8437863947453376,0.8464230340291091,0.8294964537806643,0.8626916963044363,-0.020055312257222013,-0.03466098192415262,-0.0060731345967026725,True,0.0068
2024,DistilBERT-base-uncased,RoBERTa-base,2386,0.8263677217718871,0.8084173558050467,0.8428253540561675,0.8776572307826195,0.862377887347923,0.8920003236153429,-0.05128950901073237,-0.06806112065869133,-0.035124692694732076,True,0.0
2024,Fine-tuned FinBERT,RoBERTa-base,2386,0.8464230340291091,0.8293820696789946,0.8629305381514739,0.8776572307826195,0.862788631082863,0.892287651539339,-0.031234196753510357,-0.04619823250452823,-0.016199303168289374,True,0.0
