seed,model_a,model_b,n,accuracy_a,accuracy_b,accuracy_diff_a_minus_b,b_a_correct_b_wrong,c_a_wrong_b_correct,discordant,method,statistic,p_value,p_value_holm,significant_raw_005,significant_holm_005
123,BERT-base-uncased,DistilBERT-base-uncased,2386,0.875943000838223,0.8587594300083823,0.017183570829840678,112,71,183,chi_square_continuity_corrected,8.743169398907105,0.0031076391357310485,0.009322917407193146,True,True
123,BERT-base-uncased,Fine-tuned FinBERT,2386,0.875943000838223,0.877200335289187,-0.0012573344509639872,86,89,175,chi_square_continuity_corrected,0.022857142857142857,0.8798291600118298,0.8798291600118298,False,False
123,BERT-base-uncased,RoBERTa-base,2386,0.875943000838223,0.901089689857502,-0.025146689019279078,80,140,220,chi_square_continuity_corrected,15.822727272727272,6.956192373724444e-05,0.00034780961868622224,True,True
123,DistilBERT-base-uncased,Fine-tuned FinBERT,2386,0.8587594300083823,0.877200335289187,-0.018440905280804665,85,129,214,chi_square_continuity_corrected,8.64018691588785,0.0032882769197507726,0.009322917407193146,True,True
123,DistilBERT-base-uncased,RoBERTa-base,2386,0.8587594300083823,0.901089689857502,-0.042330259849119756,80,181,261,chi_square_continuity_corrected,38.31417624521073,6.022355509604964e-10,3.613413305762978e-09,True,True
123,Fine-tuned FinBERT,RoBERTa-base,2386,0.877200335289187,0.901089689857502,-0.02388935456831509,81,138,219,chi_square_continuity_corrected,14.319634703196346,0.00015424761059696442,0.0006169904423878577,True,True
2024,BERT-base-uncased,DistilBERT-base-uncased,2386,0.8725901089689857,0.8633696563285834,0.009220452640402277,96,74,170,chi_square_continuity_corrected,2.5941176470588236,0.10726115944611408,0.21452231889222817,False,False
2024,BERT-base-uncased,Fine-tuned FinBERT,2386,0.8725901089689857,0.8780385582564962,-0.005448449287510537,83,96,179,chi_square_continuity_corrected,0.8044692737430168,0.36976048042331233,0.36976048042331233,False,False
2024,BERT-base-uncased,RoBERTa-base,2386,0.8725901089689857,0.9006705783738475,-0.028080469404861752,82,149,231,chi_square_continuity_corrected,18.857142857142858,1.4088255283626355e-05,7.044127641813178e-05,True,True
2024,DistilBERT-base-uncased,Fine-tuned FinBERT,2386,0.8633696563285834,0.8780385582564962,-0.014668901927912814,84,119,203,chi_square_continuity_corrected,5.694581280788177,0.01701737216693378,0.05105211650080134,True,False
2024,DistilBERT-base-uncased,RoBERTa-base,2386,0.8633696563285834,0.9006705783738475,-0.03730092204526403,86,175,261,chi_square_continuity_corrected,29.67049808429119,5.120825656047463e-08,3.0724953936284776e-07,True,True
2024,Fine-tuned FinBERT,RoBERTa-base,2386,0.8780385582564962,0.9006705783738475,-0.022632020117351215,83,137,220,chi_square_continuity_corrected,12.768181818181818,0.0003525653635466197,0.001410261454186479,True,True
