model,internal_macro_f1,parameter_count,samples_per_second,latency_ms_per_sample,speed_vs_bert,params_vs_bert
Original FinBERT,0.6794,109484547,30.8100829484168,32.45690709999811,0.9821015539709342,1.0
Fine-tuned FinBERT,0.8511757179169832,109484547,28.83596975798841,34.67890999999994,0.9191747635666304,1.0
BERT,0.8378,109484547,31.371585579762392,31.875978899998394,1.0,1.0
DistilBERT,0.8218,66955779,70.29504096346959,14.225754566665273,2.2407232425260797,0.6115546059664475
RoBERTa,0.8651,124647939,35.90961194450354,27.847697199998947,1.144654032650125,1.1384980110480798
