dataset,model,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive
sp500_external,fine_tuned_finbert_seed42,1060,0.7726415094339623,0.7944582414133752,0.7720532532889202,0.772270105077134,0.7739152761224813,0.7635726795096323,0.7537688442211056,0.799468791500664
synthetic_external,fine_tuned_finbert_seed42,3000,0.9746666666666667,0.9749849417097506,0.9746666666666667,0.9745903925555517,0.9745903925555517,0.9657639243740419,0.9875930521091811,0.9704142011834319
reuters_external,fine_tuned_finbert_seed42,5000,0.5984,0.7207322672735622,0.6473521797292227,0.6100978727723463,0.6170798219166298,0.6936551187232386,0.5276659959758552,0.608972503617945
