model_key,model,model_name,seed,split,n_eval,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,precision_negative,recall_negative,f1_negative,support_negative,precision_neutral,recall_neutral,f1_neutral,support_neutral,precision_positive,recall_positive,f1_positive,support_positive
bert,BERT-base-uncased,bert-base-uncased,123,test,2386,0.875943000838223,0.8410185562519322,0.8450638434530312,0.8422230563401859,0.8763246407332705,0.7493606138107417,0.8184357541899442,0.7823765020026703,358,0.9120879120879121,0.9109102646868947,0.911498708010336,1549,0.8616071428571429,0.8058455114822547,0.8327939590075513,479
distilbert,DistilBERT-base-uncased,distilbert-base-uncased,123,test,2386,0.8587594300083823,0.8190565061319708,0.8252362729561725,0.8212733865908431,0.8593829009771456,0.7164556962025317,0.7905027932960894,0.751660026560425,358,0.9007138221933809,0.8960619754680439,0.8983818770226537,1549,0.84,0.7891440501043842,0.813778256189451,479
roberta,RoBERTa-base,roberta-base,123,test,2386,0.901089689857502,0.8654941154147755,0.8874304761774395,0.8756918277589879,0.9019115856620077,0.7929292929292929,0.8770949720670391,0.8328912466843501,358,0.9422694094226941,0.9167204648160103,0.9293193717277487,1549,0.8612836438923396,0.8684759916492694,0.8648648648648649,479
finbert,Fine-tuned FinBERT,ProsusAI/finbert,123,test,2386,0.877200335289187,0.8352936164364735,0.8588721062288504,0.8462845834410797,0.8782661150303198,0.7676767676767676,0.8491620111731844,0.8063660477453581,358,0.928,0.8986442866365397,0.9130862577894392,1549,0.810204081632653,0.8288100208768268,0.8194014447884417,479
bert,BERT-base-uncased,bert-base-uncased,2024,test,2386,0.8725901089689857,0.831950295796843,0.8457972742172281,0.8386465460901303,0.8732894836838263,0.7546666666666667,0.7905027932960894,0.772169167803547,358,0.9176548089591567,0.8992898644286637,0.9083795239647864,1549,0.8235294117647058,0.8475991649269311,0.8353909465020576,479
distilbert,DistilBERT-base-uncased,distilbert-base-uncased,2024,test,2386,0.8633696563285834,0.8186409060646583,0.8348242086097786,0.8263677217718871,0.8643269794316528,0.7336814621409922,0.7849162011173184,0.7584345479082322,358,0.9140779907468606,0.8928340865074241,0.9033311561071196,1549,0.8081632653061225,0.826722338204593,0.8173374613003096,479
roberta,RoBERTa-base,roberta-base,2024,test,2386,0.9006705783738475,0.8677939724879988,0.8884324766697264,0.8776572307826195,0.9013580257776901,0.8249336870026526,0.8687150837988827,0.8462585034013606,358,0.9408244680851063,0.9134925758553906,0.9269570913855224,1549,0.8376237623762376,0.8830897703549061,0.8597560975609756,479
finbert,Fine-tuned FinBERT,ProsusAI/finbert,2024,test,2386,0.8780385582564962,0.8406080959928381,0.8526653027871731,0.8464230340291091,0.8785762044729359,0.7857142857142857,0.7988826815642458,0.7922437673130194,358,0.9210006583278473,0.9031633311814073,0.9119947848761408,1549,0.8151093439363817,0.8559498956158664,0.835030549898167,479
