model_key,model,n_seeds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
roberta,RoBERTa-base,3,0.8974534227437831,0.005938936444152778,0.8728163528472024,0.006754426563981804,0.8983565371465659,0.005684869536946731
finbert,Fine-tuned FinBERT,3,0.8790164850516904,0.0024557691857008328,0.847961111795724,0.002784791110201841,0.8799054610187041,0.0025755561768167723
bert,BERT-base-uncased,3,0.8735777032690696,0.002057673612335791,0.8395565341434388,0.002347746907140492,0.8743047081390323,0.0017493208431205757
distilbert,DistilBERT-base-uncased,3,0.8601430287789885,0.0028037676421208994,0.82314703612091,0.0028015964140973033,0.8610032934695995,0.002878694916757555
